,WDPAID,soil_c_tot,soil_c_avg,tot_c_tot,tot_c_avg,tot_co2_tot,tot_co2_avg
882,145541,10788529.220194839,339.29864404823724,12142339.465432484,381.87501586752063,44562385.83214378,1401.4810916854192
883,903099,309694.4397796585,340.7383697411003,343230.6465048676,377.63728762135923,1259656.4725452529,1385.9287014563106
884,109073,1700506.2648098029,234.99429134355503,1765190.4391292299,243.93197289651167,6478248.91233352,895.2303038722878
885,903120,712584.9964714017,334.77965515751265,804650.5730738334,378.03284214165336,2953067.6039047837,1387.3804934963916
886,903125,723377.6355882855,247.63392397395123,798164.1151184354,273.2343480236256,2929262.3006439884,1002.7701347872179
887,902284,9337605.764548443,207.68371931018925,9743946.713760043,216.72250434397128,35760284.44142964,795.3716658288772
888,555542754,172243.8051716197,175.6638113815622,173968.29028346494,177.42268467475193,638463.6250750158,651.1412942074463
889,555621977,1821.8219457599012,295.8805970149254,2047.9231022341403,332.60173740671644,7515.877807818888,1220.6484375
890,107746,155667.61779141688,269.5095288915993,167710.16004774775,290.35969660009147,615496.2873929678,1065.6200640341515
891,107759,83966.23199971179,265.11578947368423,91899.50529470065,290.16433143669985,337271.1843408091,1064.9031294452348
892,555621984,2781.621370160918,181.4418604651163,2836.1807179097946,185.00063164289608,10408.783233608998,678.9523074127907
893,555621743,22920.67498973127,201.01483216237315,24078.08025118977,211.16532494145198,88366.5545638357,774.9767759562842
894,555621858,6425.467557204253,270.8085106382979,6436.352020729488,271.26725953014187,23621.411874747322,995.5508643617021
895,107804,143117.87449865663,261.21235884567125,144442.98312172986,263.63097945420327,530105.7473420678,967.5257606649938
896,555621876,5637109.347515303,271.52521354217754,5948258.549321865,286.5131067774854,21830108.870206058,1051.5031578229145
897,107859,17121.031006555946,223.17687861271676,17290.162532699025,225.3814667630058,63454.896485950274,827.15
898,107753,38019.260172638446,216.56695300656898,39279.66007001732,223.7463681152097,144156.3523935079,821.1491915108641
899,555621878,3709761.9837325905,205.2646283838488,3786323.865898455,209.5002956344241,13895808.59405815,768.8662873713806
900,555621883,4961401.078259049,195.17254725252462,5167977.159914544,203.29846549369327,18966476.175091363,746.1053580223627
901,555621892,89652.95913926497,237.25667060212515,91765.59781338403,242.84749483471074,336779.74387921183,891.2503541912632
902,108024,993.6618841234409,242.15217391304347,1029.8924387866,250.98146654211956,3779.7052575880653,921.1019870923913
903,107612,434357.75027998345,381.7548027915,484096.2966511065,425.46992864424055,1776633.4074809384,1561.4747902454324
904,107534,36529.298076410574,171.9399323181049,46050.63309486457,216.75592216582064,169005.82340641087,795.494236463621
905,902481,3455704.284794972,250.28428492863034,3521294.931081802,254.99704047674788,12923152.390224619,935.8391366756503
906,903005,84441.79651448781,217.28179090699285,91090.69750104919,234.38712352873299,334302.85952400154,860.2007702515579
907,555621956,311096.0346963665,338.9541311967952,344664.7694119931,375.5299198798197,1264919.7036033713,1378.1947921882825
908,901251,124614.93713492458,342.0027214250371,130337.51150780311,357.708374567046,478338.6671586117,1312.7897080653142
909,107651,680750.2657605896,335.98129653168695,768670.7460409219,379.37393317595786,2821021.638632047,1392.3024332667514
